id,text,text_clean,language,category,is_scam,risk_level,ground_truth_label,source,version,extracted_entities,annotation_notes,created_at,updated_at
AADHAAR_SCAM_0001,Your Aadhaar card will be deactivated. Update your Aadhaar now at https://uidai-update.xyz or face legal consequences.,your aadhaar card will be deactivated. update your aadhaar now at https://uidai-update.xyz or face legal consequences.,en,AADHAAR_SCAM,True,HIGH,scam,cert_in,2.0.0-alpha,,,,
AADHAAR_SCAM_0002,Your Aadhaar number has been used to open bank accounts in Dubai. Call immediately to avoid arrest.,your aadhaar number has been used to open bank accounts in dubai. call immediately to avoid arrest.,en,AADHAAR_SCAM,True,HIGH,scam,cert_in,2.0.0-alpha,,,,
AADHAAR_SCAM_0003,Aadhaar OTP: 374829. Call us immediately with this OTP to update your mobile number in Aadhaar.,aadhaar otp: 374829. call us immediately with this otp to update your mobile number in aadhaar.,en,AADHAAR_SCAM,True,HIGH,scam,ncpc,2.0.0-alpha,,,,
AADHAAR_SCAM_0004,Your Amazon account has been hacked! Your order of iPhone 15 is being placed. OTP: 542389. Share to cancel.,your amazon account has been hacked! your order of iphone 15 is being placed. otp: 542389. share to cancel.,en,AADHAAR_SCAM,True,HIGH,scam,manual,2.0.0-alpha,,,,
AADHAAR_SCAM_0005,Google verification: Your account will be deleted. OTP 984312. Forward to 9988776655 to keep active.,google verification: your account will be deleted. otp 984312. forward to 9988776655 to keep active.,en,AADHAAR_SCAM,True,HIGH,scam,manual,2.0.0-alpha,,,,
AADHAAR_SCAM_0006,Your Apple ID has been locked. Verify here: https://apple-verify.tk,your apple id has been locked. verify here: https://apple-verify.tk,en,AADHAAR_SCAM,True,HIGH,scam,manual,2.0.0-alpha,,,,
AADHAAR_SCAM_0007,Facebook: Someone tried to login from Kolkata. Secure your account: http://fb-secure.tk,facebook: someone tried to login from kolkata. secure your account: http://fb-secure.tk,en,AADHAAR_SCAM,True,HIGH,scam,manual,2.0.0-alpha,,,,
AADHAAR_SCAM_0008,Your email account password expired. Update now: https://email-update.ml,your email account password expired. update now: https://email-update.ml,en,AADHAAR_SCAM,True,HIGH,scam,manual,2.0.0-alpha,,,,
AADHAAR_SCAM_0009,Your vehicle insurance expires in 7 days. Renew now to avoid penalty. https://renew-insure.tk,your vehicle insurance expires in 7 days. renew now to avoid penalty. https://renew-insure.tk,en,AADHAAR_SCAM,True,HIGH,scam,manual,2.0.0-alpha,,,,
AADHAAR_SCAM_0010,Your email account password will expire today. Keep same password: https://email-verify-now.xyz,your email account password will expire today. keep same password: https://email-verify-now.xyz,en,AADHAAR_SCAM,True,HIGH,scam,manual,2.0.0-alpha,,,,
